%  Data file recorded 2015/2/28  16:7:3
%  Stride Frequency         = [2, 2]
%  Lead In /Lead Out        = 
%  Deltas (Fractional)      = [0.25, 0.25, 0.25],[0.25, 0.25, 0.25]
%  Phase                    = 32768
%  Experiment.py 
%  Motor Gains    = [1800, 100, 200, 0, 200, 1800, 100, 200, 0, 200]
% Columns: 
% time | Right Leg Pos | Left Leg Pos | Commanded Right Leg Pos | Commanded Left Leg Pos | DCR | DCL | GyroX | GryoY | GryoZ | AX | AY | AZ | RBEMF | LBEMF | VBatt
53054,2965056,4377952,2967408,4376432,3800,-780,104,-102,-18,-107,125,3940,-8,-7,831
54055,2965060,4377948,2967408,4376432,3800,-529,103,-101,-17,-99,91,3944,2,-3,831
55056,2965048,4377940,2967408,4376432,3800,-475,105,-102,-20,-92,81,3949,4,6,831
56057,2965068,4377940,2967408,4376432,3800,-575,104,-102,-18,-90,78,3967,-6,7,831
57058,2965068,4377940,2967408,4376432,3800,-576,103,-102,-18,-106,83,3958,-6,0,831
58059,2965052,4377944,2967408,4376432,3800,-628,104,-103,-19,-97,107,3959,7,-7,831
59060,2965056,4377948,2967408,4376432,3800,-630,104,-105,-20,-102,123,3924,4,-6,831
60061,2965064,4377948,2967408,4376432,3800,-580,104,-105,-18,-90,98,3942,-8,4,831
61062,2965060,4377936,2967408,4376432,3800,-424,106,-101,-20,-110,80,3958,6,3,831
62063,2965056,4377932,2967408,4376432,3800,-523,105,-99,-20,-109,87,3957,5,-1,831
63064,2965068,4377952,2967408,4376432,3800,-831,104,-101,-18,-108,85,3942,-6,-7,831
64065,2965068,4377932,2967408,4376432,3800,-324,103,-102,-20,-127,84,3940,3,-1,831
65066,2965056,4377948,2967408,4376432,3800,-781,104,-103,-21,-90,67,3962,5,4,831
66067,2965072,4377956,2967408,4376432,3800,-684,105,-103,-19,-76,77,3950,-8,6,831
67068,2965068,4377948,2967408,4376432,3800,-481,104,-101,-20,-111,97,3920,6,-4,831
68069,2965064,4377948,2967408,4376432,3800,-581,103,-102,-20,-97,103,3943,-1,-6,831
69070,2965060,4377944,2967408,4376432,3800,-529,105,-101,-20,-99,98,3972,-7,-7,829
70071,2965068,4377944,2967408,4376432,3800,-579,104,-103,-20,-102,69,3982,7,7,831
71072,2965056,4377952,2967408,4376432,3800,-683,103,-102,-20,-98,73,3919,-6,4,831
72073,2965052,4377940,2967408,4376432,3800,-428,101,-102,-18,-97,65,3917,-3,-8,831
73074,2965052,4377948,2967408,4376432,3800,-682,102,-104,-19,-108,69,3968,-1,-1,831
74075,2965060,4377948,2967408,4376432,3800,-582,104,-103,-21,-92,82,3969,-6,3,831
75076,2965056,4377936,2967408,4376432,3800,-426,105,-101,-22,-100,106,3954,7,6,831
76077,2965060,4377944,2967408,4376432,3800,-680,104,-100,-20,-71,107,3957,-6,-3,831
77078,2965068,4377940,2967408,4376432,3800,-528,102,-100,-18,-72,96,3943,-6,-6,831
78079,2965044,4377936,2967408,4376432,3800,-527,101,-102,-20,-100,85,3942,8,-7,831
79080,2965060,4377948,2967408,4376432,3800,-733,101,-105,-19,-94,78,3969,-8,-1,831
80081,2965060,4377948,2967408,4376432,3800,-583,101,-105,-20,-98,69,3971,3,2,831
81082,2965064,4377944,2967408,4376432,3800,-531,103,-104,-19,-81,70,3950,7,5,831
82083,2965052,4377944,2967408,4376432,3800,-581,102,-103,-20,-87,99,3888,-8,-6,831
83084,2965068,4377948,2967408,4376432,3800,-633,100,-103,-21,-94,125,3912,3,-7,831
84085,2965068,4377948,2967408,4376432,3800,-584,100,-103,-22,-77,83,3957,7,-6,831
85086,2965068,4377940,2967408,4376432,3800,-480,102,-102,-20,-79,95,3937,-8,0,832
86087,2965056,4377932,2967408,4376432,3800,-477,102,-103,-22,-86,112,3941,5,1,831
87088,2965052,4377948,2967408,4376432,3800,-784,102,-104,-20,-98,101,3953,-2,7,831
89090,2965048,4377944,2967408,4376432,3800,-582,102,-103,-19,-107,89,3940,3,-7,832
90091,2965056,4377936,2967408,4376432,3800,-478,103,-102,-18,-87,86,3968,-7,2,831
91092,2965068,4377940,2967408,4376432,3800,-631,105,-102,-18,-85,81,3963,3,4,829
92093,2965060,4377940,2967408,4376432,3800,-581,103,-101,-20,-92,98,3924,-8,-7,831
93094,2965060,4377932,2967408,4376432,3800,-478,102,-101,-20,-73,59,3916,5,2,831
94095,2965064,4377936,2967408,4376432,3800,-629,103,-102,-19,-107,75,3938,-6,6,832
95096,2965056,4377944,2967408,4376432,3800,-683,101,-102,-21,-103,95,3956,3,4,831
96097,2965048,4377940,2967408,4376432,3800,-531,101,-103,-20,-87,108,3942,2,-5,831
97098,2965060,4377948,2967408,4376432,3800,-685,104,-103,-19,-84,118,3949,-1,-5,831
98099,2965064,4377944,2967408,4376432,3800,-534,106,-101,-21,-92,96,3923,3,1,831
99100,2965068,4377948,2967408,4376432,3800,-636,106,-101,-18,-96,108,3957,-7,6,831
100101,2965060,4377944,2967408,4376432,3800,-534,102,-102,-17,-100,99,3970,6,-5,831
101102,2965056,4377948,2967408,4376432,3800,-636,103,-103,-16,-86,103,3969,-8,-8,832
102103,2965068,4377948,2967408,4376432,3800,-586,104,-102,-20,-95,115,3971,7,-2,831
103104,2965052,4377952,2967408,4376432,3800,-637,104,-104,-21,-79,108,3968,-7,7,831
104105,2965052,4377944,2967408,4376432,3800,-484,104,-102,-20,-82,109,3982,1,1,831
105106,2965052,4377932,2967408,4376432,3800,-430,103,-101,-20,-112,92,3922,1,-7,831
106107,2965064,4377940,2967408,4376432,3800,-683,104,-101,-20,-80,80,3934,-2,5,831
107108,2965064,4377940,2967408,4376432,3800,-583,104,-104,-20,-92,99,3919,5,6,831
108109,2965052,4377940,2967408,4376432,3800,-583,103,-105,-18,-93,118,3932,-7,-2,831
109110,2965052,4377948,2967408,4376432,3800,-687,102,-102,-17,-95,93,3967,6,-7,831
110111,2965056,4377940,2967408,4376432,3800,-483,103,-102,-15,-107,106,3951,-8,-1,831
111112,2965060,4377948,2967408,4376432,3800,-687,106,-102,-18,-82,87,3958,-1,6,831
112113,2965064,4377948,2967408,4376432,3800,-588,106,-102,-16,-99,72,3967,2,-4,831
113114,2965056,4377940,2967408,4376432,3800,-484,105,-102,-15,-115,87,3979,-8,-8,830
114115,2965064,4377944,2967408,4376432,3800,-636,103,-100,-19,-76,75,3929,-3,6,831
115116,2965056,4377940,2967408,4376432,3800,-534,104,-101,-22,-89,82,3916,4,1,831
116117,2965052,4377940,2967408,4376432,3800,-584,105,-101,-21,-110,86,3944,-7,-5,831
117118,2965060,4377944,2967408,4376432,3800,-636,105,-103,-18,-95,83,3925,-4,-5,831
118119,2965052,4377948,2967408,4376432,3800,-638,106,-103,-17,-95,97,3934,3,6,831
119120,2965064,4377936,2967408,4376432,3800,-433,105,-101,-18,-75,77,3952,-7,5,831
120121,2965068,4377952,2967408,4376432,3800,-790,103,-100,-19,-81,82,3951,7,-6,831
121122,2965052,4377944,2967408,4376432,3800,-487,104,-103,-19,-81,100,3957,-7,-6,831
122123,2965060,4377944,2967408,4376432,3800,-587,105,-100,-19,-92,109,3950,-2,1,831
123124,2965052,4377936,2967408,4376432,3800,-483,103,-101,-19,-74,98,3927,7,7,831
124125,2965060,4377944,2967408,4376432,3800,-687,100,-102,-20,-102,95,3952,-8,1,832
125126,2965048,4377940,2967408,4376432,3800,-535,102,-101,-19,-97,88,3940,5,4,831
126127,2965060,4377948,2967408,4376432,3800,-690,104,-101,-19,-91,90,3935,7,-6,832
127128,2965072,4377940,2967408,4376432,3800,-486,104,-101,-21,-89,95,3908,-8,-3,831
128129,2965048,4377940,2967408,4376432,3800,-586,104,-102,-17,-75,94,3946,7,3,831
129130,2965052,4377956,2967408,4376432,3800,-793,103,-102,-19,-78,100,3955,-6,4,831
130131,2965048,4377944,2967408,4376432,3800,-438,102,-100,-18,-107,116,3952,5,-6,831
131132,2965056,4377940,2967408,4376432,3800,-536,100,-99,-16,-91,109,3971,-5,-8,831
132133,2965060,4377944,2967408,4376432,3800,-638,102,-98,-16,-74,82,3927,-4,0,831
133134,2965052,4377944,2967408,4376432,3800,-589,103,-99,-19,-95,102,3919,0,6,831
134135,2965056,4377948,2967408,4376432,3800,-641,103,-102,-19,-99,105,3958,-5,-4,831
135136,2965060,4377940,2967408,4376432,3800,-487,102,-103,-19,-93,81,3960,8,-6,830
136137,2965048,4377944,2967408,4376432,3800,-639,103,-103,-19,-107,78,3960,-8,4,831
137138,2965060,4377948,2967408,4376432,3800,-641,104,-100,-20,-103,78,3941,1,7,831
139140,2965056,4377936,2967408,4376432,3800,-335,105,-102,-20,-85,85,3943,3,-8,831
140141,2965060,4377944,2967408,4376432,3800,-690,103,-102,-19,-97,107,3947,-1,-7,831
141142,2965056,4377940,2967408,4376432,3800,-538,103,-100,-20,-117,100,3951,-5,4,831
142143,2965068,4377948,2967408,4376432,3800,-692,103,-102,-19,-100,114,3957,2,6,831
143144,2965064,4377940,2967408,4376432,3800,-488,102,-101,-18,-108,86,3937,-8,5,831
144145,2965068,4377948,2967408,4376432,3800,-692,104,-102,-19,-100,89,3955,3,-2,831
145146,2965048,4377944,2967408,4376432,3800,-540,106,-101,-19,-112,89,3940,-7,-7,832
146147,2965056,4377948,2967408,4376432,3800,-642,106,-101,-19,-124,105,3924,7,-8,831
147148,2965056,4377944,2967408,4376432,3800,-541,106,-103,-20,-109,102,3939,-8,-3,831
148149,2965056,4377936,2967408,4376432,3800,-487,106,-100,-19,-108,128,3942,8,7,831
149150,2965048,4377940,2967408,4376432,3800,-639,108,-101,-18,-91,93,3942,-5,6,831
150151,2965052,4377936,2967408,4376432,3800,-537,108,-101,-17,-77,62,3981,-2,-2,831
151152,2965052,4377936,2967408,4376432,3800,-587,105,-102,-18,-71,100,3990,-1,-7,831
152153,2965056,4377952,2967408,4376432,3800,-794,103,-101,-19,-103,122,3949,-5,-7,831
153154,2965064,4377944,2967408,4376432,3800,-491,104,-102,-20,-121,100,3936,7,-6,831
154155,2965056,4377940,2967408,4376432,3800,-540,105,-101,-19,-116,104,3941,-3,5,832
155156,2965056,4377936,2967408,4376432,3800,-538,105,-99,-18,-98,97,3965,8,6,831
156157,2965068,4377940,2967408,4376432,3800,-640,106,-101,-19,-100,108,3940,-6,3,831
157158,2965060,4377948,2967408,4376432,3800,-694,106,-102,-18,-97,73,3949,-2,-7,829
158159,2965056,4377944,2967408,4376432,3800,-542,105,-102,-17,-100,107,3918,8,-7,831
159160,2965060,4377936,2967408,4376432,3800,-488,104,-101,-17,-95,76,3934,-8,2,831
160161,2965064,4377948,2967408,4376432,3800,-745,102,-99,-17,-97,83,3951,5,6,831
161162,2965064,4377940,2967408,4376432,3800,-491,103,-100,-18,-74,108,3931,0,5,831
162163,2965056,4377952,2967408,4376432,3800,-746,104,-103,-19,-92,90,3963,-6,-5,831
163164,2965048,4377940,2967408,4376432,3800,-441,104,-104,-19,-97,100,3971,4,-6,831
164165,2965060,4377944,2967408,4376432,3800,-643,105,-102,-18,-116,82,3944,-8,-3,831
165166,2965072,4377936,2967408,4376432,3800,-489,105,-102,-18,-95,67,3960,3,6,832
166167,2965060,4377952,2967408,4376432,3800,-796,102,-105,-19,-97,79,4003,1,2,832
168169,2965052,4377944,2967408,4376432,3800,-644,104,-104,-21,-85,109,3955,7,-8,831
169170,2965052,4377936,2967408,4376432,3800,-490,105,-103,-19,-115,94,3982,-6,-1,832
170171,2965056,4377940,2967408,4376432,3800,-642,103,-103,-16,-96,87,3962,-4,6,831
171172,2965056,4377932,2967408,4376432,3800,-489,101,-102,-19,-99,97,3956,7,6,831
172173,2965052,4377936,2967408,4376432,3800,-640,103,-102,-18,-106,111,3957,-8,-3,831
173174,2965060,4377940,2967408,4376432,3800,-642,104,-103,-18,-95,95,3957,1,-7,831
174175,2965056,4377928,2967408,4376432,3800,-438,104,-103,-18,-87,71,3943,7,-2,832
175176,2965064,4377960,2967408,4376432,3800,-1002,104,-101,-19,-92,88,3925,-7,6,832
176177,2965056,4377944,2967408,4376432,3800,-395,103,-104,-19,-98,75,3980,-7,7,831
177178,2965060,4377932,2967408,4376432,3800,-440,103,-104,-21,-78,79,3988,5,-2,832
178179,2965056,4377944,2967408,4376432,3800,-745,106,-103,-20,-103,84,3967,-3,-8,832
179180,2965064,4377948,2967408,4376432,3800,-647,104,-102,-19,-107,101,3941,-5,-7,829
180181,2965060,4377944,2967408,4376432,3800,-545,99,-102,-19,-94,79,3941,5,7,831
181182,2965048,4377948,2967408,4376432,3800,-648,100,-101,-18,-83,90,3937,3,-5,831
182183,2965064,4377948,2967408,4376432,3800,-598,101,-101,-18,-95,56,3960,-8,-8,831
183184,2965060,4377940,2967408,4376432,3800,-494,102,-101,-19,-126,84,3939,8,0,831
184185,2965060,4377956,2967408,4376432,3800,-801,103,-99,-19,-111,84,3949,-8,6,831
185186,2965056,4377932,2967408,4376432,3800,-291,105,-101,-19,-93,81,3938,5,6,831
187188,2965068,4377944,2967408,4376432,3800,-546,99,-101,-19,-85,68,3950,-8,0,832
188189,2965052,4377940,2967408,4376432,3800,-545,99,-102,-19,-85,97,3947,3,7,831
189190,2965056,4377948,2967408,4376432,3800,-699,101,-102,-18,-74,92,3959,7,-4,832
190191,2965056,4377952,2967408,4376432,3800,-650,102,-101,-19,-94,81,3944,-8,-6,831
191192,2965044,4377948,2967408,4376432,3800,-549,103,-101,-21,-76,68,3941,-6,2,831
192193,2965048,4377932,2967408,4376432,3800,-392,103,-104,-22,-72,73,3941,7,5,831
193194,2965056,4377940,2967408,4376432,3800,-695,101,-107,-22,-101,88,3950,-6,-7,831
194195,2965056,4377936,2967408,4376432,3800,-543,102,-104,-21,-111,91,3919,-4,-6,831
195196,2965048,4377936,2967408,4376432,3800,-594,102,-102,-21,-100,106,3907,6,7,831
196197,2965060,4377944,2967408,4376432,3800,-698,102,-101,-19,-75,91,3914,3,-4,831
197198,2965044,4377948,2967408,4376432,3800,-650,101,-103,-19,-86,100,3959,-6,-7,831
198199,2965052,4377944,2967408,4376432,3800,-548,103,-102,-19,-65,86,3976,-7,3,832
199200,2965056,4377948,2967408,4376432,3800,-650,103,-101,-21,-94,67,3952,7,5,832
200201,2965056,4377952,2967408,4376432,3800,-651,104,-100,-21,-80,69,3958,-8,2,831
201202,2965056,4377936,2967408,4376432,3800,-394,105,-101,-21,-83,86,3950,3,-7,829
202203,2965064,4377940,2967408,4376432,3800,-647,103,-105,-19,-73,121,3922,1,4,831
203204,2965064,4377948,2967408,4376432,3800,-701,103,-106,-21,-63,90,3924,-7,6,831
204205,2965056,4377936,2967408,4376432,3800,-445,103,-105,-20,-73,94,3951,7,-6,831
205206,2965072,4377944,2967408,4376432,3800,-699,102,-101,-21,-87,95,3952,-8,-1,831
206207,2965056,4377940,2967408,4376432,3800,-547,104,-100,-21,-111,111,3942,1,7,831
207208,2965060,4377932,2967408,4376432,3800,-494,105,-101,-21,-82,86,3944,8,-2,832
208209,2965056,4377940,2967408,4376432,3800,-697,106,-104,-20,-73,85,3941,-2,-7,832
209210,2965064,4377956,2967408,4376432,3800,-805,105,-102,-20,-95,108,3979,-6,-6,832
210211,2965064,4377948,2967408,4376432,3800,-502,105,-102,-21,-58,86,3982,-8,2,832
211212,2965060,4377944,2967408,4376432,3800,-550,107,-103,-20,-83,87,3965,7,7,831
212213,2965052,4377948,2967408,4376432,3800,-652,106,-103,-21,-85,107,3954,-3,5,831
213214,2965064,4377932,2967408,4376432,3800,-395,104,-103,-21,-107,89,3966,-8,-5,831
214215,2965056,4377944,2967408,4376432,3800,-750,103,-101,-23,-92,97,3942,5,-8,831
215216,2965064,4377940,2967408,4376432,3800,-548,105,-100,-22,-95,108,3934,5,-6,831
216217,2965056,4377928,2967408,4376432,3800,-444,106,-101,-20,-88,122,3933,-6,6,831
217218,2965060,4377940,2967408,4376432,3800,-749,102,-101,-19,-91,95,3916,2,1,832
218219,2965064,4377944,2967408,4376432,3800,-651,102,-102,-20,-124,93,3971,5,-6,831
219220,2965056,4377948,2967408,4376432,3800,-653,105,-101,-20,-113,81,3952,-8,-4,831
220221,2965056,4377944,2967408,4376432,3800,-551,105,-100,-19,-96,67,3953,7,7,831
221222,2965060,4377936,2967408,4376432,3800,-497,104,-98,-19,-121,76,3941,5,2,831
222223,2965056,4377936,2967408,4376432,3800,-597,105,-98,-18,-118,104,3923,-8,-8,831
223224,2965060,4377940,2967408,4376432,3800,-650,107,-100,-18,-88,91,3912,7,1,829
224225,2965056,4377936,2967408,4376432,3800,-548,107,-104,-17,-80,83,3897,3,6,831
225226,2965056,4377940,2967408,4376432,3800,-650,104,-105,-20,-134,83,3929,-6,-5,831
226227,2965052,4377944,2967408,4376432,3800,-652,104,-102,-18,-106,92,3943,0,-7,831
227228,2965048,4377940,2967408,4376432,3800,-550,104,-99,-17,-74,81,3971,7,1,831
228229,2965064,4377940,2967408,4376432,3800,-600,104,-101,-17,-96,89,3926,-7,1,831
229230,2965064,4377948,2967408,4376432,3800,-704,101,-100,-18,-119,94,3961,3,-8,831
230231,2965056,4377940,2967408,4376432,3800,-501,99,-99,-17,-110,77,3965,6,-3,832
231232,2965064,4377940,2967408,4376432,3800,-601,100,-97,-18,-85,76,3960,-7,6,831
232233,2965060,4377952,2967408,4376432,3800,-756,103,-99,-19,-90,81,3947,5,2,831
233234,2965056,4377936,2967408,4376432,3800,-399,103,-102,-18,-81,97,3947,7,-6,831
234235,2965072,4377944,2967408,4376432,3800,-703,103,-100,-15,-61,89,3932,-7,-4,831
235236,2965056,4377936,2967408,4376432,3800,-499,105,-100,-15,-85,81,3918,4,7,831
236237,2965056,4377936,2967408,4376432,3800,-599,103,-101,-17,-79,75,3934,7,2,831
237238,2965072,4377940,2967408,4376432,3800,-652,100,-99,-15,-90,84,3948,-1,-6,831
238239,2965060,4377948,2967408,4376432,3800,-706,98,-101,-18,-108,84,3947,-5,6,831
239240,2965064,4377936,2967408,4376432,3800,-450,102,-101,-20,-85,84,3987,4,4,831
240241,2965048,4377944,2967408,4376432,3800,-704,102,-101,-17,-89,108,3958,8,-8,832
241242,2965052,4377940,2967408,4376432,3800,-552,102,-101,-18,-114,84,3915,-6,3,831
242243,2965056,4377952,2967408,4376432,3800,-757,101,-101,-22,-101,79,3975,-8,7,831
243244,2965064,4377936,2967408,4376432,3800,-401,103,-101,-21,-112,105,3965,-3,-4,831
244245,2965052,4377944,2967408,4376432,3800,-705,103,-100,-17,-88,101,3934,7,-6,831
245246,2965060,4377944,2967408,4376432,3800,-605,103,-101,-16,-83,101,3964,-4,3,829
246247,2965064,4377952,2967408,4376432,3800,-708,99,-103,-18,-84,97,3965,-6,4,831
247248,2965060,4377936,2967408,4376432,3800,-401,101,-102,-17,-94,71,3932,8,-8,831
249250,2965060,4377936,2967408,4376432,3800,-601,104,-99,-19,-91,83,3967,-6,4,832
250251,2965052,4377940,2967408,4376432,3800,-654,105,-98,-20,-85,97,3933,-4,2,831
251252,2965056,4377940,2967408,4376432,3800,-604,104,-98,-20,-89,95,3939,3,-5,832
252253,2965056,4377948,2967408,4376432,3800,-708,101,-100,-21,-81,86,3941,5,-7,831
253254,2965072,4377936,2967408,4376432,3800,-452,102,-101,-19,-93,109,3965,-5,5,831
254255,2965064,4377928,2967408,4376432,3800,-499,104,-100,-17,-102,106,3959,-8,5,831
255256,2965056,4377952,2967408,4376432,3800,-909,104,-101,-19,-109,90,3957,3,-7,831
256257,2965064,4377940,2967408,4376432,3800,-454,105,-102,-20,-133,80,3960,4,-4,831
257258,2965052,4377936,2967408,4376432,3800,-553,104,-103,-20,-105,81,3974,-8,3,831
258259,2965060,4377948,2967408,4376432,3800,-759,103,-104,-22,-84,105,3985,-4,5,831
259260,2965072,4377940,2967408,4376432,3800,-505,103,-102,-21,-88,83,3954,8,-6,832
260261,2965056,4377940,2967408,4376432,3800,-605,102,-102,-21,-96,97,3919,0,-8,831
261262,2965064,4377944,2967408,4376432,3800,-657,101,-102,-21,-114,88,3947,-8,2,832
262263,2965060,4377952,2967408,4376432,3800,-710,102,-102,-21,-109,87,3962,8,4,832
263264,2965056,4377936,2967408,4376432,3800,-403,104,-99,-21,-89,100,3942,-8,0,831
264265,2965044,4377932,2967408,4376432,3800,-553,105,-100,-20,-89,100,3965,2,-8,831
265266,2965064,4377936,2967408,4376432,3800,-654,106,-101,-21,-96,110,3955,0,2,831
266267,2965060,4377948,2967408,4376432,3800,-760,105,-100,-19,-88,76,3929,-7,7,831
267268,2965048,4377944,2967408,4376432,3800,-558,104,-100,-19,-105,82,3928,7,-2,829
268269,2965072,4377944,2967408,4376432,3800,-608,103,-101,-17,-79,112,3938,-6,-5,831
269270,2965060,4377940,2967408,4376432,3800,-556,105,-102,-18,-71,119,3926,-4,3,831
270290,2965064,4377932,2967408,4376432,3800,-503,106,-102,-18,-78,100,3940,7,3,831
271272,2965052,4377940,2967408,4376432,3800,-707,104,-101,-20,-90,92,3960,-8,-7,831
272273,2965060,4377940,2967408,4376432,3800,-607,105,-101,-20,-95,78,3953,8,-7,832
